timestamp,temperature.gpu,utilization.gpu [%],utilization.memory [%],memory.used [MiB],memory.total [MiB],power.draw [W],fan.speed [%],clocks.current.sm [MHz],clocks.current.memory [MHz]
2026/07/04 19:09:30.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.64 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:31.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.64 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:32.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:33.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:34.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:35.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:36.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:37.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.63 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:38.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.64 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:39.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.63 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:40.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:41.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.62 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:42.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:43.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.63 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:44.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.61 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:45.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.59 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:46.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.6 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:47.511,46.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.59 W,[N/A],180.0 MHz,405.0 MHz
2026/07/04 19:09:48.511,45.0,0.0 %,0.0 %,2.0 MiB,8151.0 MiB,3.56 W,[N/A],180.0 MHz,405.0 MHz
