timestamp, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], fan.speed [%], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/07/04 19:09:30.511, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.64 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:31.516, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.64 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:32.517, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:33.517, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:34.518, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:35.519, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:36.520, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:37.521, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.63 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:38.522, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.64 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:39.523, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.63 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:40.524, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:41.525, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:42.525, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:43.526, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.63 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:44.527, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:45.528, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.59 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:46.529, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:47.530, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.59 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:48.530, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.56 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:49.531, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.58 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:50.532, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:51.533, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:52.534, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:53.535, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:54.536, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:55.537, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.59 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:56.537, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.59 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:57.538, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:58.539, 46, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:09:59.540, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:00.541, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:01.541, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:02.542, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:03.543, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:04.544, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:05.545, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:06.546, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:07.547, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:08.548, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:09.549, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:10.549, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:11.550, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:12.551, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:13.552, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:14.553, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:15.554, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:16.555, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:17.556, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:18.557, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.59 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:19.558, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.62 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:20.558, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:21.559, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.59 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:22.560, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.60 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:23.561, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 172 MHz, 405 MHz
2026/07/04 19:10:24.562, 45, 0 %, 0 %, 2 MiB, 8151 MiB, 3.61 W, [N/A], 180 MHz, 405 MHz
2026/07/04 19:10:25.563, 45, 0 %, 0 %, 142 MiB, 8151 MiB, 11.77 W, [N/A], 180 MHz, 11001 MHz
2026/07/04 19:10:26.563, 50, 93 %, 0 %, 142 MiB, 8151 MiB, 33.67 W, [N/A], 2805 MHz, 12001 MHz
2026/07/04 19:10:27.564, 51, 93 %, 0 %, 142 MiB, 8151 MiB, 36.63 W, [N/A], 2805 MHz, 12001 MHz
2026/07/04 19:10:28.564, 51, 93 %, 0 %, 142 MiB, 8151 MiB, 36.67 W, [N/A], 2805 MHz, 12001 MHz
2026/07/04 19:10:29.564, 51, 93 %, 0 %, 142 MiB, 8151 MiB, 36.68 W, [N/A], 2805 MHz, 12001 MHz
2026/07/04 19:10:30.566, 51, 69 %, 0 %, 142 MiB, 8151 MiB, 32.19 W, [N/A], 2835 MHz, 12001 MHz
2026/07/04 19:10:31.567, 51, 70 %, 0 %, 142 MiB, 8151 MiB, 31.81 W, [N/A], 2827 MHz, 12001 MHz
2026/07/04 19:10:32.568, 51, 70 %, 0 %, 142 MiB, 8151 MiB, 31.83 W, [N/A], 2835 MHz, 12001 MHz
2026/07/04 19:10:33.569, 51, 70 %, 0 %, 142 MiB, 8151 MiB, 31.78 W, [N/A], 2835 MHz, 12001 MHz
2026/07/04 19:10:34.570, 51, 71 %, 0 %, 142 MiB, 8151 MiB, 32.14 W, [N/A], 2835 MHz, 12001 MHz
2026/07/04 19:10:35.571, 53, 92 %, 0 %, 142 MiB, 8151 MiB, 36.42 W, [N/A], 2842 MHz, 12001 MHz
2026/07/04 19:10:36.571, 53, 92 %, 0 %, 142 MiB, 8151 MiB, 37.25 W, [N/A], 2835 MHz, 12001 MHz
2026/07/04 19:10:37.572, 53, 92 %, 0 %, 182 MiB, 8151 MiB, 37.28 W, [N/A], 2835 MHz, 12001 MHz
2026/07/04 19:10:38.572, 53, 100 %, 1 %, 182 MiB, 8151 MiB, 37.91 W, [N/A], 2730 MHz, 12001 MHz
2026/07/04 19:10:39.573, 53, 100 %, 1 %, 182 MiB, 8151 MiB, 37.85 W, [N/A], 2737 MHz, 12001 MHz
2026/07/04 19:10:40.573, 53, 100 %, 1 %, 182 MiB, 8151 MiB, 37.86 W, [N/A], 2730 MHz, 12001 MHz
2026/07/04 19:10:41.574, 54, 100 %, 1 %, 182 MiB, 8151 MiB, 37.90 W, [N/A], 2730 MHz, 12001 MHz
2026/07/04 19:10:42.574, 54, 100 %, 1 %, 182 MiB, 8151 MiB, 37.92 W, [N/A], 2730 MHz, 12001 MHz
2026/07/04 19:10:43.575, 54, 100 %, 1 %, 182 MiB, 8151 MiB, 37.92 W, [N/A], 2730 MHz, 12001 MHz
2026/07/04 19:10:44.576, 54, 100 %, 1 %, 182 MiB, 8151 MiB, 37.88 W, [N/A], 2730 MHz, 12001 MHz
2026/07/04 19:10:45.576, 54, 99 %, 1 %, 182 MiB, 8151 MiB, 37.91 W, [N/A], 2737 MHz, 12001 MHz
2026/07/04 19:10:46.577, 54, 100 %, 1 %, 182 MiB, 8151 MiB, 37.91 W, [N/A], 2737 MHz, 12001 MHz
2026/07/04 19:10:47.577, 55, 100 %, 1 %, 182 MiB, 8151 MiB, 37.95 W, [N/A], 2737 MHz, 12001 MHz
2026/07/04 19:10:48.578, 55, 100 %, 1 %, 182 MiB, 8151 MiB, 37.96 W, [N/A], 2730 MHz, 12001 MHz
2026/07/04 19:10:49.579, 55, 100 %, 1 %, 278 MiB, 8151 MiB, 37.97 W, [N/A], 2722 MHz, 12001 MHz
2026/07/04 19:10:50.579, 55, 100 %, 3 %, 278 MiB, 8151 MiB, 39.48 W, [N/A], 2715 MHz, 12001 MHz
2026/07/04 19:10:51.580, 55, 100 %, 3 %, 278 MiB, 8151 MiB, 39.49 W, [N/A], 2715 MHz, 12001 MHz
2026/07/04 19:10:52.580, 55, 100 %, 3 %, 278 MiB, 8151 MiB, 39.51 W, [N/A], 2715 MHz, 12001 MHz
2026/07/04 19:10:53.581, 55, 100 %, 3 %, 278 MiB, 8151 MiB, 39.54 W, [N/A], 2715 MHz, 12001 MHz
